NOV_ISSUED_DATE,NOV_NUMBER,STREET_NO,DIR,STREET_NME,VIOLATION_DESCRIPTION
1/4/2019,P005671375,1900,S,CENTRAL PARK,8-4-081(a)     Public Urination
1/4/2019,P005670820,10,E,ROOSEVELT RD,8-4-081(a)     Public Urination
1/4/2019,P005642208,2200,S,WHIPPLE,8-4-081(a)     Public Urination
1/4/2019,P005671411,10,W,O HARE CTA PL,"10-8-526/016-110-1.17  Urinating, Defecating or Causing the"
1/4/2019,P005703342,600,N,CLARK,8-4-081(a)     Public Urination
1/4/2019,P005721936,10,E,109TH,8-4-081(a)     Public Urination
1/4/2019,P005671271,1900,S,CENTRAL PK,8-4-081(a)     Public Urination
1/4/2019,P005607508,100,,UNKNOWN,8-4-081(a)     Public Urination
1/4/2019,P005912298,200,S,WABASH,8-4-081(a)     Public Urination
1/5/2019,P005303689,7900,S,EXCHANGE,8-4-081(a)     Public Urination
1/5/2019,P005485466,11100,S,HALSTED ST,8-4-081(a)     Public Urination
1/5/2019,P005408990,500,E,PERSHING RD,8-4-081(a)     Public Urination
1/5/2019,P005525387,1900,W,SUPERIOR,8-4-081(a)     Public Urination
1/5/2019,P005521282,1200,S,UNION,8-4-081(a)     Public Urination
1/5/2019,P005547524,1500,W,59TH ST,8-4-081(a)     Public Urination
1/5/2019,P005633223,13200,S,ST LAWRENCE,8-4-081(a)     Public Urination
1/5/2019,P005679199,400,N,STATE,8-4-081(a)     Public Urination
1/5/2019,P005615711,1600,W,ROOSEVELT,8-4-081(a)     Public Urination
1/5/2019,P005719471,2400,N,MILWAUKEE,8-4-081(a)     Public Urination
1/5/2019,P005721475,100,W,103RD ST,8-4-081(a)     Public Urination
1/5/2019,P005787879,6100,S,KEDZIE,8-4-081(a)     Public Urination
1/5/2019,P005703904,2800,S,PULASKI,8-4-081(a)     Public Urination
1/5/2019,P005916971,800,W,CORNELIA,8-4-081(a)     Public Urination
1/6/2019,P005485756,1500,W,95TH ST,8-4-081(a)     Public Urination
1/6/2019,P005485705,9900,S,HALSTED,8-4-081(a)     Public Urination
1/6/2019,P005558664,3300,W,MONTROSE,8-4-081(a)     Public Urination
1/6/2019,P005640136,1800,S,ST LOUIS,8-4-081(a)     Public Urination
1/6/2019,P005555722,3900,W,LAWRENCE,8-4-081(a)     Public Urination
1/6/2019,P005599678,900,E,WALDRON DR,8-4-081(a)     Public Urination
1/6/2019,P005616026,3000,W,CHICAGO,8-4-081(a)     Public Urination
1/6/2019,P005726472,9700,S,WALLACE,8-4-081(a)     Public Urination
1/6/2019,P005787622,5100,S,PULASKI,8-4-081(a)     Public Urination
1/6/2019,P005613311,1400,S,MUSEUM CAMPUS DR,8-4-081(a)     Public Urination
1/6/2019,P005614254,1400,S,MUSEUM CAMPUS DR,8-4-081(a)     Public Urination
1/6/2019,P005614255,1400,S,MUSEUM CAMPUS DR,8-4-081(a)     Public Urination
1/6/2019,P005745146,1400,S,MUSEUM CAMPUS,8-4-081(a)     Public Urination
1/6/2019,P005922445,11900,S,MICHIGAN,8-4-081(a)     Public Urination
1/7/2019,P003320056,7900,S,PAULINA,8-4-081(a)     Public Urination
1/7/2019,P005332389,1500,N,MILWAUKEE,8-4-081(a)     Public Urination
1/7/2019,P005504817,10,W,HUBBARD ST,8-4-081(a)     Public Urination
1/7/2019,P005479703,7900,S,COTTAGE GR,8-4-081(a)     Public Urination
1/7/2019,P005575726,5500,N,WINTHROOP,8-4-081(a)     Public Urination
1/7/2019,P005633783,11900,S,MICHIGAN,8-4-081(a)     Public Urination
1/7/2019,P005578522,6300,S,VERNON,8-4-081(a)     Public Urination
1/7/2019,P005682979,1900,E,71ST ST,8-4-081(a)     Public Urination
1/7/2019,P005652087,1100,N,MONTICELLO,8-4-081(a)     Public Urination
1/7/2019,P005633540,100,E,119TH ST,8-4-081(a)     Public Urination
1/7/2019,P005651274,7300,N,WINCHESTER ALY,8-4-081(a)     Public Urination
1/7/2019,P005724904,10400,S,MICHIGAN,8-4-081(a)     Public Urination
1/7/2019,P005747791,100,W,LAKE ST,8-4-081(a)     Public Urination
1/7/2019,P005908986,3700,N,RACINE,8-4-081(a)     Public Urination
1/8/2019,P005485307,9800,S,HALSTED ST,8-4-081(a)     Public Urination
1/8/2019,P005640998,2400,W,21ST ST,8-4-081(a)     Public Urination
1/8/2019,P005548315,1000,W,59 ST,8-4-081(a)     Public Urination
1/8/2019,P005595586,8700,S,COMMERCIAL,8-4-081(a)     Public Urination
1/8/2019,P005545864,1500,W,55TH ST,8-4-081(a)     Public Urination
1/8/2019,P005672846,4000,W,MADISON ST,8-4-081(a)     Public Urination
1/8/2019,P005633003,10,E,111TH,8-4-081(a)     Public Urination
1/8/2019,P005726531,11000,S,WENTWORTH,8-4-081(a)     Public Urination
1/8/2019,P005621216,400,W,62ND PLACE,8-4-081(a)     Public Urination
1/8/2019,P005712623,100,N,STATE,8-4-081(a)     Public Urination
1/8/2019,P005712625,100,N,STATE,8-4-081(a)     Public Urination
1/8/2019,P005908916,3800,N,PAULINA,8-4-081(a)     Public Urination
1/9/2019,P005287624,6300,W,DIVERSEY,8-4-081(a)     Public Urination
1/9/2019,P005389348,7000,S,CHAPPEL,8-4-081(a)     Public Urination
1/9/2019,P005464549,400,N,PARKSIDE,8-4-081(a)     Public Urination
1/9/2019,P005513125,5300,N,BROADWAY,8-4-081(a)     Public Urination
1/9/2019,P005558502,1600,N,GREENLEAF,8-4-081(a)     Public Urination
1/9/2019,P005689873,6800,S,KEDZIE AV,8-4-081(a)     Public Urination
1/9/2019,P005640552,2600,W,CERMAK,8-4-081(a)     Public Urination
1/9/2019,P005726660,9500,S,ASHLAND,8-4-081(a)     Public Urination
1/9/2019,P005701661,11600,S,LAFAYETTE,8-4-081(a)     Public Urination
1/9/2019,P005610859,4800,W,GLADYS,8-4-081(a)     Public Urination
1/10/2019,P005450869,4800,W,CHICAGO,8-4-081(a)     Public Urination
1/10/2019,P005633231,10800,S,MICHIGAN,8-4-081(a)     Public Urination
1/10/2019,P005658026,3400,S,DAMEN,8-4-081(a)     Public Urination
1/10/2019,P005724926,10800,S,MICHIGAN,8-4-081(a)     Public Urination
1/10/2019,P005787892,5500,S,LARAMIE,8-4-081(a)     Public Urination
1/10/2019,P005739716,4900,N,WINTHROP,8-4-081(a)     Public Urination
1/10/2019,P005787486,2400,W,71ST ST,8-4-081(a)     Public Urination
1/10/2019,P005750205,7000,S,WESTERN,8-4-081(a)     Public Urination
1/10/2019,P005703930,10,W,HUBBARD ST,8-4-081(a)     Public Urination
1/10/2019,P005915781,3200,N,CICERO,8-4-081(a)     Public Urination
1/10/2019,P005874374,1100,S,STATE ST,8-4-081(a)     Public Urination
1/10/2019,P005908848,900,W,BELMONT,8-4-081(a)     Public Urination
1/10/2019,P005908849,900,W,BELMONT,8-4-081(a)     Public Urination
1/11/2019,P005154894,3500,S,MAPLEWOOD,8-4-081(a)     Public Urination
1/11/2019,P005506394,10,E,HUBBARD,8-4-081(a)     Public Urination
1/11/2019,P005462600,5100,S,LAKE PARK,8-4-081(a)     Public Urination
1/11/2019,P005569083,1900,E,HAYES,8-4-081(a)     Public Urination
1/11/2019,P005474036,700,N,SPAULDING,8-4-081(a)     Public Urination
1/11/2019,P005474066,400,S,PULASKI,8-4-081(a)     Public Urination
1/11/2019,P005568162,400,E,47TH STREET,8-4-081(a)     Public Urination
1/11/2019,P005570775,1300,E,57TH ST,8-4-081(a)     Public Urination
1/11/2019,P005474261,2600,N,CONGRESS,8-4-081(a)     Public Urination
1/11/2019,P005682545,7200,S,STONY ISLAND,8-4-081(a)     Public Urination
1/11/2019,P005642352,2500,S,DRAKE,8-4-081(a)     Public Urination
1/11/2019,P005642353,2500,S,DRAKE,8-4-081(a)     Public Urination
1/11/2019,P005641841,3700,W,ROOSEVELT RD,8-4-081(a)     Public Urination
1/11/2019,P005669874,10,S,CTA PLATFORM ST,"10-8-526/016-110-1.17  Urinating, Defecating or Causing the"
1/11/2019,P005749785,6900,S,WESTERN,8-4-081(a)     Public Urination
1/11/2019,P005908845,2800,N,CLARK,8-4-081(a)     Public Urination
1/11/2019,P005912615,300,S,STATE ST,8-4-081(a)     Public Urination
1/12/2019,P005197402,10,N,SPRINGFIELD,8-4-081(a)     Public Urination
1/12/2019,P005574744,1500,W,MORSE,8-4-081(a)     Public Urination
1/12/2019,P005633212,400,E,103RD,8-4-081(a)     Public Urination
1/12/2019,P005547212,3100,W,MONROE ST,8-4-081(a)     Public Urination
1/12/2019,P005636875,7900,S,HALSTED,8-4-081(a)     Public Urination
1/12/2019,P005683320,2200,E,70TH ST,8-4-081(a)     Public Urination
1/12/2019,P005651987,3400,W,MADISON ST,8-4-081(a)     Public Urination
1/12/2019,P005671682,10,N,DEARBORN,8-4-081(a)     Public Urination
1/12/2019,P005726661,700,W,99TH ST,8-4-081(a)     Public Urination
1/12/2019,P005623098,7900,S,HALSTED ST,8-4-081(a)     Public Urination
1/12/2019,P005610014,200,S,LOTUS,8-4-081(a)     Public Urination
1/12/2019,P005751593,7100,S,STATE,8-4-081(a)     Public Urination
1/13/2019,P005155760,4400,W,FLOURNOY,8-4-081(a)     Public Urination
1/13/2019,P005208292,3300,N,HALSTED ST,8-4-081(a)     Public Urination
1/13/2019,P005690044,6400,S,WESTERN,8-4-081(a)     Public Urination
1/13/2019,P005633005,10200,S,MICHIGAN,8-4-081(a)     Public Urination
1/13/2019,P005657870,5400,S,HALSTED,8-4-081(a)     Public Urination
1/13/2019,P005610492,5100,W,MADISON ST,8-4-081(a)     Public Urination
1/13/2019,P005619880,10,W,HUBBARD,8-4-081(a)     Public Urination
1/13/2019,P005750354,6300,S,SACRAMENTO,8-4-081(a)     Public Urination
1/13/2019,P005711201,3300,W,BELMONT,8-4-081(a)     Public Urination
1/13/2019,P005712172,100,W,LAKE ST,8-4-081(a)     Public Urination
1/13/2019,P005913621,10,E,CERMAK,8-4-081(a)     Public Urination
1/13/2019,P005919934,10,W,O HARE PLATFO,"10-8-526/016-110-1.17  Urinating, Defecating or Causing the"
1/14/2019,P005450870,4800,W,SUPERIOR,8-4-081(a)     Public Urination
1/14/2019,P005450871,5100,W,MADISON,8-4-081(a)     Public Urination
1/14/2019,P005569928,5500,S,PRAIRIE,8-4-081(a)     Public Urination
1/14/2019,P005640967,5400,S,HALSTED,8-4-081(a)     Public Urination
1/14/2019,P005541732,11400,S,CALUMET,8-4-081(a)     Public Urination
1/14/2019,P005621081,5600,S,DAMEN,8-4-081(a)     Public Urination
1/14/2019,P005615094,200,S,STATE,8-4-081(a)     Public Urination
1/15/2019,P005574745,1900,W,HOWARD,8-4-081(a)     Public Urination
1/15/2019,P005640968,4700,S,MARSHFIELD ST,8-4-081(a)     Public Urination
1/15/2019,P005651280,1900,W,HOWARD,8-4-081(a)     Public Urination
1/15/2019,P005640295,1600,S,KEDZIE ST,8-4-081(a)     Public Urination
1/15/2019,P005788611,1100,W,STATE ST,8-4-081(a)     Public Urination
1/15/2019,P005621082,6200,S,UNION,8-4-081(a)     Public Urination
1/15/2019,P005918858,3200,W,DOUGLAS BLVD,8-4-081(a)     Public Urination
1/16/2019,P005487017,1000,W,WILSON,8-4-081(a)     Public Urination
1/16/2019,P005567515,4600,S,COTTAGE GROVE,8-4-081(a)     Public Urination
1/16/2019,P005596355,2300,E,85TH ST,8-4-081(a)     Public Urination
1/16/2019,P005545865,6800,S,ASHLAND,8-4-081(a)     Public Urination
1/16/2019,P005602545,3300,W,AINSLE,8-4-081(a)     Public Urination
1/16/2019,P005690280,2300,W,68TH ST,8-4-081(a)     Public Urination
1/16/2019,P005670967,4000,W,LAKE ST,8-4-081(a)     Public Urination
1/16/2019,P005641768,1900,S,ST LOUIS,8-4-081(a)     Public Urination
1/16/2019,P005787983,7800,S,WESTERN,8-4-081(a)     Public Urination
1/16/2019,P005673954,6300,S,ASHLAND,8-4-081(a)     Public Urination
1/16/2019,P005753450,11900,S,MICHIGAN,8-4-081(a)     Public Urination
1/16/2019,P005913398,10,W,LOWER WACKER,8-4-081(a)     Public Urination
1/17/2019,P005408480,200,E,35TH ST,8-4-081(a)     Public Urination
1/17/2019,P005552034,2200,S,KOSTNER,8-4-081(a)     Public Urination
1/17/2019,P005685952,6500,S,KING,8-4-081(a)     Public Urination
1/17/2019,P005724907,700,W,111TH ST,8-4-081(a)     Public Urination
1/17/2019,P005713546,7500,N,PAULINA,8-4-081(a)     Public Urination
1/17/2019,P005913188,10,E,WACKER,8-4-081(a)     Public Urination
1/18/2019,P005569084,6300,S,VERNON,8-4-081(a)     Public Urination
1/18/2019,P005469753,800,N,HAMLIN,8-4-081(a)     Public Urination
1/18/2019,P005558670,4600,N,ELSTON,8-4-081(a)     Public Urination
1/18/2019,P005473433,100,N,KARLOV,8-4-081(a)     Public Urination
1/18/2019,P005633904,11000,S,STATE ST,8-4-081(a)     Public Urination
1/18/2019,P005621044,6800,S,ASHLAND,8-4-081(a)     Public Urination
1/18/2019,P005750210,5000,S,CICERO,8-4-081(a)     Public Urination
1/18/2019,P005912828,400,S,CLINTON,8-4-081(a)     Public Urination
1/18/2019,P005795856,2500,W,DEVON,8-4-081(a)     Public Urination
1/19/2019,P005464550,5600,W,CORCORAN,8-4-081(a)     Public Urination
1/19/2019,P005683321,800,E,73RD ST,8-4-081(a)     Public Urination
1/19/2019,P005726474,8700,S,MAY ST,8-4-081(a)     Public Urination
1/19/2019,P005621176,7100,S,ASHLAND,8-4-081(a)     Public Urination
1/19/2019,P005609946,5600,W,CORCORAN,8-4-081(a)     Public Urination
1/19/2019,P005913173,100,S,STATE ST,8-4-081(a)     Public Urination
1/20/2019,P005329720,7200,S,JEFFREY,8-4-081(a)     Public Urination
1/20/2019,P005502564,3000,N,CICERO,8-4-081(a)     Public Urination
1/20/2019,P005486693,3800,N,ASHLAND,8-4-081(a)     Public Urination
1/20/2019,P005455515,3700,W,MADISON,8-4-081(a)     Public Urination
1/20/2019,P005450916,300,N,LARAMIE,8-4-081(a)     Public Urination
1/20/2019,P005563617,5400,S,HALSTED,8-4-081(a)     Public Urination
1/20/2019,P005788671,200,S,DEARBORN,8-4-081(a)     Public Urination
1/20/2019,P005712175,200,S,STATE ST,8-4-081(a)     Public Urination
1/21/2019,P005502156,4100,W,MADISON,8-4-081(a)     Public Urination
1/21/2019,P005297555,2200,N,MILWAUKEE,8-4-081(a)     Public Urination
1/21/2019,P005580561,6700,S,JEFFERY,8-4-081(a)     Public Urination
1/21/2019,P005558639,4100,W,MADISON,8-4-081(a)     Public Urination
1/21/2019,P005570781,5700,S,STATE ST,8-4-081(a)     Public Urination
1/21/2019,P005551095,4000,W,OGDEN,8-4-081(a)     Public Urination
1/21/2019,P005680078,400,N,STATE ST,8-4-081(a)     Public Urination
1/21/2019,P005690508,6200,S,ALBANY,8-4-081(a)     Public Urination
1/21/2019,P005672933,7800,S,LAFAYETTE,8-4-081(a)     Public Urination
1/21/2019,P005724491,11400,S,HALSTED ST,8-4-081(a)     Public Urination
1/21/2019,P005788161,100,N,WELLS,8-4-081(a)     Public Urination
1/21/2019,P005703986,3000,W,ROOSEVELT,8-4-081(a)     Public Urination
1/22/2019,P005173453,9100,S,COMMERICAL,8-4-081(a)     Public Urination
1/22/2019,P005409142,3500,S,INDIANA,8-4-081(a)     Public Urination
1/22/2019,P005570711,300,E,51ST ST,8-4-081(a)     Public Urination
1/22/2019,P005639697,1200,S,CALIFORNIA BD,8-4-081(a)     Public Urination
1/22/2019,P005787459,5100,S,PULASKI,8-4-081(a)     Public Urination
1/22/2019,P005705257,3400,W,CHICAGO,8-4-081(a)     Public Urination
1/22/2019,P005913712,200,W,ROOSEVELT,8-4-081(a)     Public Urination
1/23/2019,P005480480,7900,S,PAULINA,8-4-081(a)     Public Urination
1/23/2019,P005455541,2800,W,FLOURNOY,8-4-081(a)     Public Urination
1/23/2019,P005455542,3900,W,VAN BUREN,8-4-081(a)     Public Urination
1/23/2019,P005570114,5700,S,STATE,8-4-081(a)     Public Urination
1/23/2019,P005512724,1000,W,ARGYLE,8-4-081(a)     Public Urination
1/23/2019,P005548766,10100,S,GREEN ST,8-4-081(a)     Public Urination
1/23/2019,P005548590,6200,S,ASHLAND,8-4-081(a)     Public Urination
1/23/2019,P005476300,1100,S,STATE ST,8-4-081(a)     Public Urination
1/23/2019,P005682547,400,E,63RD ST,8-4-081(a)     Public Urination
1/23/2019,P005610523,400,N,CICERO,8-4-081(a)     Public Urination
1/23/2019,P005651972,1300,N,CENTRAL,8-4-081(a)     Public Urination
1/23/2019,P005787909,4100,W,47TH,8-4-081(a)     Public Urination
1/23/2019,P005724471,6900,S,HALSTED,8-4-081(a)     Public Urination
1/23/2019,P005788675,200,S,STATE,8-4-081(a)     Public Urination
1/24/2019,P005569085,700,E,65TH ST,8-4-081(a)     Public Urination
1/24/2019,P005474988,1000,N,LAWNDALE,8-4-081(a)     Public Urination
1/24/2019,P005473754,3900,W,DIVISION,8-4-081(a)     Public Urination
1/24/2019,P005682548,300,E,75TH ST,8-4-081(a)     Public Urination
1/24/2019,P005651518,7700,N,MARSHFIELD,8-4-081(a)     Public Urination
1/24/2019,P005614583,100,N,STATE,8-4-081(a)     Public Urination
1/24/2019,P005641787,1600,S,KOSTNER,8-4-081(a)     Public Urination
1/24/2019,P005719031,3400,W,BOACH,8-4-081(a)     Public Urination
1/24/2019,P005916993,500,W,ARLINGTON PL,8-4-081(a)     Public Urination
1/25/2019,P005547359,7000,S,ASHLAND,8-4-081(a)     Public Urination
1/25/2019,P005682549,6300,S,VERNON,8-4-081(a)     Public Urination
1/25/2019,P005610440,5000,W,MADISON,8-4-081(a)     Public Urination
1/25/2019,P005788678,100,N,WELLS,8-4-081(a)     Public Urination
1/25/2019,P005787097,3300,W,63RD ST,8-4-081(a)     Public Urination
1/26/2019,P005633214,10300,S,CORLISS,8-4-081(a)     Public Urination
1/26/2019,P005775722,10,W,I 190 EXPRESSW,8-4-081(a)     Public Urination
1/26/2019,P005705258,3700,W,CHICAGO,8-4-081(a)     Public Urination
1/27/2019,P005570119,5700,S,STATE,8-4-081(a)     Public Urination
1/27/2019,P005690509,6100,S,KEDZIE,8-4-081(a)     Public Urination
1/27/2019,P005641741,1200,S,FAIRFIELD,8-4-081(a)     Public Urination
1/27/2019,P005721511,1100,S,WHIPPLE,8-4-081(a)     Public Urination
1/27/2019,P005913131,1400,S,CANAL ST,8-4-081(a)     Public Urination
1/27/2019,P005914026,10,E,HARRISON ST,8-4-081(a)     Public Urination
1/28/2019,P005455718,300,S,SPRINGFIELD,8-4-081(a)     Public Urination
1/28/2019,P005479490,7900,S,LAFAYETTE,8-4-081(a)     Public Urination
1/28/2019,P005559547,4400,S,PRINCETON,8-4-081(a)     Public Urination
1/28/2019,P005616027,2800,W,MADISON,8-4-081(a)     Public Urination
1/28/2019,P005620798,6300,S,ASHLAND,8-4-081(a)     Public Urination
1/28/2019,P005610860,5000,W,CHICAGO,8-4-081(a)     Public Urination
1/28/2019,P005743319,3100,S,EMERALD,8-4-081(a)     Public Urination
1/29/2019,P005543601,1600,W,GARFIELD,8-4-081(a)     Public Urination
1/29/2019,P005472303,500,S,KEDZIE ST,8-4-081(a)     Public Urination
1/29/2019,P005657878,4300,S,TALMAN,8-4-081(a)     Public Urination
1/29/2019,P005604535,2400,W,71ST ST,8-4-081(a)     Public Urination
1/30/2019,P005506577,300,W,CHICAGO,8-4-081(a)     Public Urination
1/30/2019,P005787832,6900,S,WESTERN,8-4-081(a)     Public Urination
1/30/2019,P005724324,7300,S,ASHLAND,8-4-081(a)     Public Urination
1/30/2019,P005787987,2800,W,MARQUETTE,8-4-081(a)     Public Urination
1/30/2019,P005750355,7000,S,WESTERN,8-4-081(a)     Public Urination
1/31/2019,P005458201,4100,W,MADISON ST,8-4-081(a)     Public Urination
1/31/2019,P005458202,10,N,KEELER,8-4-081(a)     Public Urination
1/31/2019,P005463361,5600,W,CHICAGO,8-4-081(a)     Public Urination
1/31/2019,P005569222,4000,S,COTTAGE GROVE,8-4-081(a)     Public Urination
1/31/2019,P005651397,6400,N,WESTERN,8-4-081(a)     Public Urination
2/1/2019,P005450874,4900,W,CHICAGO,8-4-081(a)     Public Urination
2/1/2019,P005480363,8300,S,HALSTED ST,8-4-081(a)     Public Urination
2/1/2019,P005455516,4100,W,MADISON,8-4-081(a)     Public Urination
2/1/2019,P005570713,300,E,51ST ST,8-4-081(a)     Public Urination
2/1/2019,P005651810,1700,W,HOWARD,8-4-081(a)     Public Urination
2/1/2019,P005739143,4800,N,CLARK ST,8-4-081(a)     Public Urination
2/1/2019,P005613490,300,N,LWER MICHIGAN,8-4-081(a)     Public Urination
2/1/2019,P005916836,3300,N,HALSTED ST,8-4-081(a)     Public Urination
2/1/2019,P005913401,300,N,LWER MICHIGAN,8-4-081(a)     Public Urination
2/2/2019,P005067604,4000,W,VAN BUREN,8-4-081(a)     Public Urination
2/2/2019,P005354319,10,S,CENTRAL,8-4-081(a)     Public Urination
2/2/2019,P005460238,5600,W,CORCHORAN,8-4-081(a)     Public Urination
2/2/2019,P005595603,2600,E,79TH ST,8-4-081(a)     Public Urination
2/2/2019,P005667791,300,W,MONTROSE,8-4-081(a)     Public Urination
2/2/2019,P005668661,3300,N,HALSTED,8-4-081(a)     Public Urination
2/2/2019,P005685822,6300,S,VERNON,8-4-081(a)     Public Urination
2/2/2019,P005641748,3000,S,KARLOV,8-4-081(a)     Public Urination
2/2/2019,P005670356,500,N,STATE ST,8-4-081(a)     Public Urination
2/2/2019,P005725002,10,W,111TH PL,8-4-081(a)     Public Urination
2/2/2019,P005724454,100,W,103RD ST,8-4-081(a)     Public Urination
2/2/2019,P005787237,2400,W,70 ST,8-4-081(a)     Public Urination
2/2/2019,P005610442,300,N,LARAMIE,8-4-081(a)     Public Urination
2/2/2019,P005621217,6300,S,ASHLAND,8-4-081(a)     Public Urination
2/2/2019,P005610861,1100,S,AUSTIN BLVD,8-4-081(a)     Public Urination
2/2/2019,P005710998,4400,N,ST LOUIS,8-4-081(a)     Public Urination
2/2/2019,P005916228,3200,N,SHEFFIELD,8-4-081(a)     Public Urination
2/3/2019,P005499940,4500,W,DIVISION,8-4-081(a)     Public Urination
2/3/2019,P005494823,3100,N,MILWAUKEE,8-4-081(a)     Public Urination
2/3/2019,P005450875,900,N,LONG,8-4-081(a)     Public Urination
2/3/2019,P005554795,2100,S,KEELER,8-4-081(a)     Public Urination
2/3/2019,P005641516,2100,S,PULASKI,8-4-081(a)     Public Urination
2/3/2019,P005570782,5500,S,STATE ST,8-4-081(a)     Public Urination
2/3/2019,P005652341,2000,W,PARKSIDE,8-4-081(a)     Public Urination
2/3/2019,P005745089,10,E,LAKE ST,8-4-081(a)     Public Urination
2/3/2019,P005916837,3300,N,HALSTED ST,8-4-081(a)     Public Urination
2/3/2019,P005912263,5300,S,LAKE PARK,8-4-081(a)     Public Urination
2/4/2019,P005082759,3900,W,LEXINGTON,8-4-081(a)     Public Urination
2/4/2019,P005082760,3900,W,LEXINGTON ST,8-4-081(a)     Public Urination
2/4/2019,P005297146,1500,N,HONORE,8-4-081(a)     Public Urination
2/4/2019,P005354371,5800,W,WEST END,8-4-081(a)     Public Urination
2/4/2019,P005408993,100,E,35TH ST,8-4-081(a)     Public Urination
2/4/2019,P005640553,1500,S,CHRISTIANA,8-4-081(a)     Public Urination
2/4/2019,P005640554,1600,S,KEDZIE,8-4-081(a)     Public Urination
2/4/2019,P005731691,700,N,RIDGEWAY,8-4-081(a)     Public Urination
2/5/2019,P005202180,4200,W,MADISON,8-4-081(a)     Public Urination
2/5/2019,P005481041,800,W,76TH ST,8-4-081(a)     Public Urination
2/5/2019,P005753609,400,E,63RD ST,8-4-081(a)     Public Urination
2/5/2019,P005725031,1500,W,63RD ST,8-4-081(a)     Public Urination
2/5/2019,P005605449,3200,W,61ST PL,8-4-081(a)     Public Urination
2/5/2019,P005914116,10,E,VAN BUREN,8-4-081(a)     Public Urination
2/5/2019,P005913531,100,,UNKNOWN,8-4-081(a)     Public Urination
2/6/2019,P005614584,300,N,LOWER MICHIGA,8-4-081(a)     Public Urination
2/6/2019,P005636541,11800,S,MICHIGAN,8-4-081(a)     Public Urination
2/6/2019,P005542932,7000,S,HALSTED,8-4-081(a)     Public Urination
2/6/2019,P005619935,6300,S,VERNON,8-4-081(a)     Public Urination
2/6/2019,P005757043,200,W,CERMAK RD,8-4-081(a)     Public Urination
2/6/2019,P005703953,400,N,STATE ST,8-4-081(a)     Public Urination
2/6/2019,P005703990,2400,S,PULASKI,8-4-081(a)     Public Urination
2/7/2019,P005450876,5100,W,WASHINGTON,8-4-081(a)     Public Urination
2/7/2019,P005409184,300,E,35TH STREET,8-4-081(a)     Public Urination
2/7/2019,P005465464,300,N,LARAMIE,8-4-081(a)     Public Urination
2/7/2019,P005471723,4000,W,GLADYS,8-4-081(a)     Public Urination
2/7/2019,P005595605,7900,S,EAST END,8-4-081(a)     Public Urination
2/7/2019,P005671472,200,S,STATE,"10-8-526/016-110-1.17  Urinating, Defecating or Causing the"
2/7/2019,P005643266,3500,W,ROOSEVELT,8-4-081(a)     Public Urination
2/7/2019,P005787261,5300,S,KEDZIE,8-4-081(a)     Public Urination
2/7/2019,P005788837,10,E,ROOSEVELT,8-4-081(a)     Public Urination
2/7/2019,P005918748,6300,S,EVANS,8-4-081(a)     Public Urination
2/7/2019,P005913142,200,N,COLUMBUS,8-4-081(a)     Public Urination
